Date,ASO_mean_m,SM_mean_m,Diff_mean_m,Ratio_ASO_to_SM
2017-01-29,0.47092744228557004,0.5631906986236572,0.09226323880041604,0.8361775921307597
2017-03-09,0.7306266971937145,0.8639653325080872,0.13333877054158041,0.8456666832599739
2017-04-02,0.6662003692931125,0.8301605582237244,0.16395990999340973,0.8024958096281595
2017-04-30,0.7144925292047521,0.8020715713500977,0.08757895050059468,0.8908089436483493
2017-06-06,0.3604021171999423,0.5138047933578491,0.15340260205185957,0.7014378259194897
2017-07-09,0.0880882219488763,0.1610865443944931,0.07299836103983212,0.546837864577643
2018-04-23,0.20821412409788484,0.29819056391716003,0.08997644738500389,0.6982585946473093
2018-06-01,0.061810799218841764,0.13932625949382782,0.07751548414911381,0.44364069948766544
2019-06-09,0.25995473961812865,0.551730215549469,0.29177544464436495,0.4711627753778888
2019-07-04,0.09401633891604592,0.21612419188022614,0.12210785049314246,0.4350107135074857
2019-07-14,0.05835635796084893,0.10582922399044037,0.047472854584862514,0.5514200686770632
2020-05-04,0.12890777599316583,0.190204918384552,0.06129714697565084,0.6777310339186025
2020-05-23,0.07379054139892229,0.09880722314119339,0.025016711933850987,0.7468132293676262
2020-06-08,0.024151617242300707,0.03155016154050827,0.007398541306638391,0.7654990042219488
2021-02-27,0.15782632835903135,0.22319002449512482,0.06536373195803241,0.7071388101508935
2021-04-01,0.14052753026933443,0.2501547634601593,0.10962711461301874,0.5617623599308971
2021-05-03,0.03872553415906848,0.13820120692253113,0.09947570777830944,0.2802112587972993
2022-02-07,0.1672596978403844,0.301695853471756,0.13443629203721816,0.5543983979748096
2022-04-17,0.09850474733933924,0.21713244915008545,0.11862773779139477,0.4536620285218225
2022-04-30,0.09254600677538832,0.2224745750427246,0.12992846016306953,0.4159846434479785
2023-01-24,0.6819111080720704,0.7403156757354736,0.05840423096974396,0.9211085627690099
2023-03-18,0.9688986392362594,1.2393584251403809,0.270459659657641,0.7817743596865557
2023-04-15,1.035907536634849,1.315374493598938,0.27946717068087656,0.7875381054414002
2023-05-24,0.5954740983857539,1.022132396697998,0.42665809617452133,0.5825802022413484
2023-06-25,0.27532739852609667,0.6296917796134949,0.35436424026565205,0.43724153219070566
2024-01-29,0.10560073484695115,0.16319873929023743,0.057598028555668875,0.6470683248303022
2024-02-25,0.24597533749636283,0.4412005543708801,0.19522496855689075,0.5575136637058531
2024-03-26,0.2943192631799844,0.6125973463058472,0.3182780557954129,0.4804448875836979
2024-04-30,0.2600393221475997,0.7189515233039856,0.45891216803242507,0.3616924280966443
2024-05-21,0.140081890645047,0.6095074415206909,0.4694256625833253,0.2298280235849945
2024-06-29,0.014940387205642355,0.07495156675577164,0.06001115356669924,0.19933388790024023
2025-02-26,0.20713472908856415,0.38403141498565674,0.17689663595955335,0.539369231280989
2025-03-25,0.2677402269243868,0.5504282712936401,0.2826880310107258,0.4864216481743066
2025-04-28,0.19203425363295076,0.539027988910675,0.34699390936071356,0.3562602640004538
2025-05-09,0.1539035613321133,0.5111019611358643,0.35719861233423256,0.3011210541827714
